bin center	omega	        hist_DD	        hist_DR	        hist_RR
59.125	       0.001175	        1122110	        1141434	        1162124
59.375	       0.000861	        1110506	        1129796	        1150076
59.625	       0.006658	        1101988	        1116732	        1139060
59.875	       0.001995	        1087256	        1105291	        1125572
60.125	      -0.005933	        1066498	        1093431	        1113756
60.375	      -0.001470	        1058668	        1080545	        1100804
60.625	      -0.001826	        1043628	        1068223	        1090826
60.875	      -0.002367	        1032586	        1057025	        1078910
61.125	      -0.006794	        1018916	        1045757	        1065360
61.375	       0.001455	        1010096	        1030659	        1052754
61.625	      -0.005441	         995774	        1020993	        1040550
61.875	      -0.007150	         985290	        1009160	        1025696
62.125	      -0.002938	         973102	         996809	        1017526
62.375	      -0.000416	         962172	         984189	        1005788
62.625	      -0.004302	         946480	         971391	         992034
62.875	      -0.002282	         934664	         958016	         979134
63.125	      -0.004759	         920266	         946175	         967480
63.375	      -0.001647	         905796	         932073	         956774
63.625	      -0.003001	         892654	         918553	         941626
63.875	      -0.005473	         878878	         907549	         931124
